"id","ranking","repo","url","description","lang","stars","forks","added_stars","time"
"2488","23","/BigBrotherTrade/trader","https://github.com/BigBrotherTrade/trader","交易模块","Python","793","193","35 stars today","2023-04-29 21:28:09"
"2489","24","/0hq/WebGPT","https://github.com/0hq/WebGPT","Run GPT model on the browser with WebGPU. An implementation of GPT inference in less than ~2000 lines of vanilla Javascript.","JavaScript","2,367","117","136 stars today","2023-04-29 21:28:09"
"2490","25","/angular/angular","https://github.com/angular/angular","The modern web developer’s platform","TypeScript","87,828","23,479","37 stars today","2023-04-29 21:28:09"
"2466","1","/xtekky/gpt4free","https://github.com/xtekky/gpt4free","decentralising the Ai Industry, just some language model api's...","Python","16,408","2,007","1,895 stars today","2023-04-29 21:28:08"
"2467","2","/AIGC-Audio/AudioGPT","https://github.com/AIGC-Audio/AudioGPT","AudioGPT: Understanding and Generating Speech, Music, Sound, and Talking Head","Python","2,002","151","346 stars today","2023-04-29 21:28:08"
"2468","3","/gaomingqi/Track-Anything","https://github.com/gaomingqi/Track-Anything","Track-Anything is a flexible and interactive tool for video object tracking and segmentation, based on Segment Anything, XMem, and E2FGVI.","Python","3,190","174","438 stars today","2023-04-29 21:28:08"
"2469","4","/Eugeny/tabby","https://github.com/Eugeny/tabby","A terminal for a more modern age","TypeScript","46,320","2,782","255 stars today","2023-04-29 21:28:08"
"2470","5","/whoiskatrin/chart-gpt","https://github.com/whoiskatrin/chart-gpt","AI tool to build charts based on text input","TypeScript","2,054","172","116 stars today","2023-04-29 21:28:08"
"2471","6","/apple/swift-foundation","https://github.com/apple/swift-foundation","The Foundation project","Swift","1,057","42","322 stars today","2023-04-29 21:28:08"
"2441","1","/xtekky/gpt4free","https://github.com/xtekky/gpt4free","gpt4free","Python","14,570","1,551","3,353 stars today","2023-04-28 21:09:14"
"2442","2","/gaomingqi/Track-Anything","https://github.com/gaomingqi/Track-Anything","Track-Anything is a flexible and interactive tool for video object tracking and segmentation, based on Segment Anything, XMem, and E2FGVI.","Python","2,813","150","438 stars today","2023-04-28 21:09:14"
"2443","3","/GFW-knocker/gfw_resist_tls_proxy","https://github.com/GFW-knocker/gfw_resist_tls_proxy","knock up GFW sni detection in tls client hello","Python","998","222","132 stars today","2023-04-28 21:09:14"
"2444","4","/bhaskatripathi/pdfGPT","https://github.com/bhaskatripathi/pdfGPT","PDF GPT allows you to chat with the contents of your PDF file by using GPT capabilities. The only open source solution to turn your pdf files in a chatbot!","Python","2,261","233","193 stars today","2023-04-28 21:09:14"
"2445","5","/Dogtiti/AutoGPT-Next-Web","https://github.com/Dogtiti/AutoGPT-Next-Web","  Assemble, configure, and deploy autonomous AI Agents in your browser.一键免费部署你的私人AutoGPT 网页应用","TypeScript","915","340","179 stars today","2023-04-28 21:09:14"
"2446","6","/Snaacky/dndserver","https://github.com/Snaacky/dndserver","Dark and Darker private server implementation written in Python","Python","187","50","56 stars today","2023-04-28 21:09:14"
"2447","7","/peterw/Chat-with-Github-Repo","https://github.com/peterw/Chat-with-Github-Repo","This repository contains two Python scripts that demonstrate how to create a chatbot using Streamlit, OpenAI GPT-3.5-turbo, and Activeloop's Deep Lake.","Python","539","57","43 stars today","2023-04-28 21:09:14"
"2448","8","/mitsuhiko/rye","https://github.com/mitsuhiko/rye","an experimental alternative to poetry/pip/pipenv/pyenv/venv/virtualenv/pdm/hatch/…","Rust","4,250","84","415 stars today","2023-04-28 21:09:14"
"2449","9","/sadmann7/netflx-web","https://github.com/sadmann7/netflx-web","","TypeScript","412","52","64 stars today","2023-04-28 21:09:14"
"2450","10","/Josh-XT/Agent-LLM","https://github.com/Josh-XT/Agent-LLM","An Artificial Intelligence Automation Platform. AI Instruction management from various providers, has an adaptive memory, and a versatile plugin system with many commands including web browsing. Supports many AI providers and models and growing support every day.","Python","989","120","139 stars today","2023-04-28 21:09:14"
"2451","11","/Eugeny/tabby","https://github.com/Eugeny/tabby","A terminal for a more modern age","TypeScript","46,081","2,772","274 stars today","2023-04-28 21:09:14"
"2452","12","/ai-collection/ai-collection","https://github.com/ai-collection/ai-collection","The Generative AI Landscape - A Collection of Awesome Generative AI Applications","","3,408","275","60 stars today","2023-04-28 21:09:14"
